bin	Depth HFD_AL_4_02_25	Depth HFD_AL_4_03_11	Depth HFD_AL_6_05_12	Depth HFD_AL_6_05_22	Depth HFD_AL_7_06_12	Depth HFD_IF_4_02_25	Depth HFD_IF_4_03_11	Depth HFD_IF_6_05_12	Depth HFD_IF_6_05_22	Depth HFD_IF_7_06_12	Input_file_busco	Dataset_busco	Complete_busco	Single_busco	Duplicated_busco	Fragmented_busco	Missing_busco	n_markers_busco	Translation table_busco	Scaffold N50_busco	Contigs N50_busco	Percent gaps_busco	Number of scaffolds_busco	Name_checkm2	Completeness_checkm2	Contamination_checkm2	Completeness_Model_Used_checkm2	Translation_Table_Used_checkm2	Coding_Density_checkm2	Genome_Size_checkm2	Total_Coding_Sequences_checkm2	Name	Assembly_quast	# contigs (>= 0 bp)_quast	# contigs (>= 1000 bp)_quast	# contigs (>= 5000 bp)_quast	# contigs (>= 10000 bp)_quast	# contigs (>= 25000 bp)_quast	# contigs (>= 50000 bp)_quast	Total length (>= 0 bp)_quast	Total length (>= 1000 bp)_quast	Total length (>= 5000 bp)_quast	Total length (>= 10000 bp)_quast	Total length (>= 25000 bp)_quast	Total length (>= 50000 bp)_quast	# contigs_quast	Largest contig_quast	Total length_quast	GC (%)_quast	N50_quast	N75_quast	L50_quast	L75_quast	# N's per 100 kbp_quast	# predicted rRNA genes_quast	user_genome_gtdbtk	classification_gtdbtk	closest_genome_reference_gtdbtk	closest_genome_reference_radius_gtdbtk	closest_genome_taxonomy_gtdbtk	closest_genome_ani_gtdbtk	closest_genome_af_gtdbtk	closest_placement_reference_gtdbtk	closest_placement_radius_gtdbtk	closest_placement_taxonomy_gtdbtk	closest_placement_ani_gtdbtk	closest_placement_af_gtdbtk	pplacer_taxonomy_gtdbtk	classification_method_gtdbtk	note_gtdbtk	other_related_references(genome_id,species_name,radius,ANI,AF)_gtdbtk	msa_percent_gtdbtk	translation_table_gtdbtk	red_value_gtdbtk	warnings_gtdbtk
MEGAHIT-MaxBin2-group-AL.011.fa	55.9797	42.741	50.62795	95.08775	45.855						MEGAHIT-MaxBin2-group-AL.011.fa	bacteria_odb10	68.5	62.9	5.6	8.1	23.4	124	11	18525	18525	0.000%	400	MEGAHIT-MaxBin2-group-AL.011.fa	76.51	10.11	Gradient Boost (General Model)	11	0.866	3335955	3414	MEGAHIT-MaxBin2-group-AL.011	MEGAHIT-MaxBin2-group-AL.011.fa	400	400	167	109	34	3	3335955	3335955	2801441	2406770	1272367	207523	400	93318	3335955	59.62	18525	8347	53	120	0.0	5 + 2 part	MEGAHIT-MaxBin2-group-AL.011.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__						GCA_910585815.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp910585815	96.29	0.607	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_949525845.1, s__Lawsonibacter sp949525845, 95.0, 95.33, 0.581; GCA_041223445.1, s__Lawsonibacter sp947573385, 95.0, 90.28, 0.282; GCA_947650875.1, s__Lawsonibacter sp947650875, 95.0, 89.68, 0.363; GCA_910578735.1, s__Lawsonibacter sp910578735, 95.0, 87.16, 0.202; GCA_950097245.1, s__Lawsonibacter sp950097245, 95.0, 86.37, 0.236; GCA_910589085.1, s__Lawsonibacter sp910589085, 95.0, 85.69, 0.169; GCA_947645675.1, s__Lawsonibacter sp947645675, 95.0, 85.61, 0.153; GCA_949840775.1, s__Lawsonibacter sp949840775, 95.0, 85.3, 0.179; GCA_947649625.1, s__Lawsonibacter sp947649625, 95.0, 84.96, 0.157; GCA_910588635.1, s__Lawsonibacter sp910588635, 95.0, 84.81, 0.158	67.22	11.0	0.99831	
MEGAHIT-MaxBin2-group-AL.012.fa	50.2519	30.7222	0.00653595	0.0121832	0.0						MEGAHIT-MaxBin2-group-AL.012.fa	bacteria_odb10	95.2	92.7	2.4	2.4	2.4	124	11	46776	46776	0.000%	207	MEGAHIT-MaxBin2-group-AL.012.fa	97.09	8.16	Gradient Boost (General Model)	11	0.878	4339807	3968	MEGAHIT-MaxBin2-group-AL.012	MEGAHIT-MaxBin2-group-AL.012.fa	207	207	125	95	59	23	4339807	4339807	4138940	3921849	3310694	2055072	207	229937	4339807	51.84	46776	26862	26	57	0.0	1 + 0 part	MEGAHIT-MaxBin2-group-AL.012.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp011959105	GCA_011959105.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp011959105	98.34	0.732							ani_screen	classification based on ANI only	GCA_022797535.1, s__Acetatifactor sp022797535, 95.0, 88.25, 0.446				
MEGAHIT-MaxBin2-group-AL.013.fa	43.5991	13.9473	12.0481	4.978645	25.94725						MEGAHIT-MaxBin2-group-AL.013.fa	bacteria_odb10	83.9	83.9	0.0	0.0	16.1	124	11	33383	33383	0.000%	144	MEGAHIT-MaxBin2-group-AL.013.fa	69.35	0.36	Neural Network (Specific Model)	11	0.897	2265403	1990	MEGAHIT-MaxBin2-group-AL.013	MEGAHIT-MaxBin2-group-AL.013.fa	144	144	80	69	34	9	2265403	2265403	2113449	2032306	1469656	588206	144	106872	2265403	47.89	33383	18351	23	45	0.0	8 + 4 part	MEGAHIT-MaxBin2-group-AL.013.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Lepagella;s__Lepagella muris_A	GCA_003833075.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Lepagella;s__Lepagella muris_A	98.42	0.818							ani_screen	classification based on ANI only	GCA_947175455.1, s__Lepagella sp947175455, 95.0, 92.54, 0.47				
MEGAHIT-MaxBin2-group-AL.014.fa	37.5072	35.5429	13.849	53.7008	2.8992						MEGAHIT-MaxBin2-group-AL.014.fa	bacteria_odb10	85.5	79.8	5.6	2.4	12.1	124	11	46400	46400	0.000%	155	MEGAHIT-MaxBin2-group-AL.014.fa	84.26	10.66	Gradient Boost (General Model)	11	0.876	3207471	3119	MEGAHIT-MaxBin2-group-AL.014	MEGAHIT-MaxBin2-group-AL.014.fa	155	155	96	74	49	20	3207471	3207471	3070267	2921824	2551120	1505473	155	139643	3207471	60.77	46400	29212	23	44	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-AL.014.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp910585385	GCA_910585385.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp910585385	99.78	0.888							ani_screen	classification based on ANI only	GCF_910587525.1, s__Oscillibacter sp910587525, 95.0, 86.97, 0.292; GCA_910588005.1, s__Oscillibacter sp910588005, 95.0, 84.73, 0.19; GCF_000403435.2, s__Oscillibacter sp000403435, 95.0, 87.52, 0.337; GCF_947365245.1, s__Oscillibacter sp947365245, 95.0, 86.63, 0.289; GCA_947644365.1, s__Oscillibacter sp947644365, 95.0, 88.81, 0.472; GCF_946551795.1, s__Oscillibacter sp946551795, 95.0, 88.07, 0.412; GCF_910584075.1, s__Oscillibacter sp910584075, 95.0, 88.32, 0.405				
MEGAHIT-MaxBin2-group-AL.015.fa	38.2355	54.851200000000006	3.914585	14.30955	10.6203						MEGAHIT-MaxBin2-group-AL.015.fa	bacteria_odb10	41.1	40.3	0.8	10.5	48.4	124	11	10909	10909	0.000%	546	MEGAHIT-MaxBin2-group-AL.015.fa	57.87	4.31	Gradient Boost (General Model)	11	0.866	3230092	3438	MEGAHIT-MaxBin2-group-AL.015	MEGAHIT-MaxBin2-group-AL.015.fa	546	546	195	97	11	2	3230092	3230092	2428632	1730457	429155	160261	546	87696	3230092	54.76	10909	5055	86	194	0.0	3 + 0 part	MEGAHIT-MaxBin2-group-AL.015.fa																			
MEGAHIT-MaxBin2-group-AL.016.fa	34.78865	12.84875	0.0	0.0	0.0						MEGAHIT-MaxBin2-group-AL.016.fa	bacteria_odb10	96.8	95.2	1.6	1.6	1.6	124	11	61974	61974	0.000%	88	MEGAHIT-MaxBin2-group-AL.016.fa	98.98	0.49	Gradient Boost (General Model)	11	0.881	2246282	2163	MEGAHIT-MaxBin2-group-AL.016	MEGAHIT-MaxBin2-group-AL.016.fa	88	88	54	44	25	17	2246282	2246282	2171595	2100769	1801582	1490928	88	172049	2246282	51.79	61974	42121	11	22	0.0	1 + 1 part	MEGAHIT-MaxBin2-group-AL.016.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp910589155	GCA_910589155.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp910589155	99.83	0.886							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-group-AL.017.fa	32.551950000000005	207.76	182.5445	135.95999999999998	248.4175						MEGAHIT-MaxBin2-group-AL.017.fa	bacteria_odb10	86.3	81.5	4.8	4.0	9.7	124	11	121970	121970	0.000%	38	MEGAHIT-MaxBin2-group-AL.017.fa	100.0	5.81	Neural Network (Specific Model)	11	0.883	2794923	2344	MEGAHIT-MaxBin2-group-AL.017	MEGAHIT-MaxBin2-group-AL.017.fa	38	38	27	26	24	22	2794923	2794923	2773006	2764632	2724602	2646118	38	303199	2794923	55.8	121970	85919	8	15	0.0	4 + 3 part	MEGAHIT-MaxBin2-group-AL.017.fa	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	98.97	0.937							ani_screen	classification based on ANI only	GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 85.44, 0.381; GCF_020860705.1, s__Akkermansia sp020860705, 95.0, 84.83, 0.351; GCF_040616545.1, s__Akkermansia muciniphila_E, 95.0, 85.5, 0.382; GCA_947624785.1, s__Akkermansia muciniphila_F, 95.0, 87.23, 0.496; GCF_030848305.1, s__Akkermansia muciniphila_A, 95.0, 93.47, 0.807; GCF_023516715.1, s__Akkermansia massiliensis, 95.02, 87.44, 0.513; GCA_021202525.1, s__Akkermansia sp021202525, 95.0, 82.29, 0.171; GCF_026072915.1, s__Akkermansia biwaensis, 95.0, 81.86, 0.162; GCA_905200945.1, s__Akkermansia sp905200945, 95.0, 94.52, 0.831				
MEGAHIT-MaxBin2-group-AL.018.fa	33.96205	21.69025	7.472329999999999	2.742315	3.781765						MEGAHIT-MaxBin2-group-AL.018.fa	bacteria_odb10	96.8	96.0	0.8	0.0	3.2	124	11	120832	120832	0.000%	64	MEGAHIT-MaxBin2-group-AL.018.fa	99.87	0.72	Neural Network (Specific Model)	11	0.894	3058358	2400	MEGAHIT-MaxBin2-group-AL.018	MEGAHIT-MaxBin2-group-AL.018.fa	64	64	42	39	28	20	3058358	3058358	3014189	2991372	2816730	2528775	64	517398	3058358	53.37	120832	70070	8	17	0.0	0 + 1 part	MEGAHIT-MaxBin2-group-AL.018.fa	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp910589485	GCA_910589485.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp910589485	99.97	0.973							ani_screen	classification based on ANI only	GCA_023663345.1, s__Duncaniella sp023663345, 95.0, 89.91, 0.637				
MEGAHIT-MaxBin2-group-AL.019.fa	31.6212	39.7557	18.249	36.748	10.552						MEGAHIT-MaxBin2-group-AL.019.fa	bacteria_odb10	91.1	73.4	17.7	3.2	5.6	124	11	28583	28583	0.000%	265	MEGAHIT-MaxBin2-group-AL.019.fa	93.93	13.7	Gradient Boost (General Model)	11	0.88	3548760	3545	MEGAHIT-MaxBin2-group-AL.019	MEGAHIT-MaxBin2-group-AL.019.fa	265	265	143	105	43	11	3548760	3548760	3285663	3003806	2003531	867166	265	174324	3548760	61.46	28583	14950	35	78	0.0	1 + 0 part	MEGAHIT-MaxBin2-group-AL.019.fa																			
MEGAHIT-MaxBin2-group-AL.020.fa	31.043	8.44816	3.89096	10.3751	15.5998						MEGAHIT-MaxBin2-group-AL.020.fa	bacteria_odb10	76.6	76.6	0.0	0.8	22.6	124	11	39213	39213	0.000%	187	MEGAHIT-MaxBin2-group-AL.020.fa	89.83	0.02	Neural Network (Specific Model)	11	0.903	3030796	2801	MEGAHIT-MaxBin2-group-AL.020	MEGAHIT-MaxBin2-group-AL.020.fa	187	187	98	75	43	15	3030796	3030796	2810725	2639327	2126155	1150050	187	134526	3030796	46.07	39213	19543	24	50	0.0	0 + 0 part	MEGAHIT-MaxBin2-group-AL.020.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_B;s__Roseburia_B sp011959925	GCA_949102785.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia_B;s__Roseburia_B sp011959925	99.59	0.865							ani_screen	classification based on ANI only					
MEGAHIT-MaxBin2-group-AL.021.fa	30.4342	25.1051	0.00223526	0.0	0.0						MEGAHIT-MaxBin2-group-AL.021.fa	bacteria_odb10	84.7	84.7	0.0	2.4	12.9	124	11	84868	84868	0.000%	65	MEGAHIT-MaxBin2-group-AL.021.fa	84.98	0.0	Neural Network (Specific Model)	11	0.869	2386016	2272	MEGAHIT-MaxBin2-group-AL.021	MEGAHIT-MaxBin2-group-AL.021.fa	65	65	43	38	27	16	2386016	2386016	2331469	2296161	2110496	1712736	65	201469	2386016	58.73	84868	47084	9	18	0.0	2 + 2 part	MEGAHIT-MaxBin2-group-AL.021.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910587995	GCA_041223885.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter sp910587995	98.32	0.896							ani_screen	classification based on ANI only	GCA_948471095.1, s__Acutalibacter sp948471095, 95.0, 87.25, 0.302				
MEGAHIT-MaxBin2-group-AL.022.fa	28.6599	22.5157	18.4214	24.2668	12.9032						MEGAHIT-MaxBin2-group-AL.022.fa	bacteria_odb10	89.5	83.1	6.5	0.8	9.7	124	11	20206	20206	0.000%	879	MEGAHIT-MaxBin2-group-AL.022.fa	93.51	17.4	Gradient Boost (General Model)	11	0.849	6143352	6918	MEGAHIT-MaxBin2-group-AL.022	MEGAHIT-MaxBin2-group-AL.022.fa	879	879	244	120	47	18	6143352	6143352	4705848	3866735	2748315	1776727	879	219213	6143352	48.82	20206	5304	62	225	0.0	6 + 3 part	MEGAHIT-MaxBin2-group-AL.022.fa	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum_A;s__						GCA_910576545.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum_A;s__Anaerotignum_A sp910576545	98.01	0.628	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum_A;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_947036475.1, s__Anaerotignum_A sp947036475, 95.0, 92.14, 0.656; GCA_910578425.1, s__Anaerotignum_A sp910578425, 95.0, 90.18, 0.547	76.57	11.0	0.99942	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 12.5% of markers with multiple hits
